number,value,params_model_params.block_0_channels,params_model_params.block_1_channels,params_model_params.block_kernel_size_0,params_model_params.block_kernel_size_1,params_model_params.block_stride_0,params_model_params.block_stride_1,params_model_params.classifier_dropout,params_model_params.rnn_dropout,params_model_params.rnn_hidden_size,params_model_params.rnn_num_layers,params_model_params.rnn_type,params_model_params.se_reduction_ratio,params_model_params.use_depthwise,params_model_params.use_se,params_train_params.augmentations.channel_mask_max_channels,params_train_params.augmentations.channel_mask_prob,params_train_params.augmentations.enable,params_train_params.augmentations.noise_level,params_train_params.augmentations.time_mask_max_width,params_train_params.augmentations.time_mask_prob,params_train_params.batch_size,params_train_params.max_lr,params_train_params.weight_decay,state,user_attrs_best_model_relative_path,user_attrs_best_val_levenshtein,user_attrs_final_levenshtein_slope,user_attrs_final_slope_window,datetime_start,duration
27,0.39066666666666666,96,256,5,7,4,2,0.2959205529639093,0.42427504490572776,192,3,GRU,4,False,True,4,0.06313667453966629,False,0.03590863937999791,75,0.11783167861316812,8,0.0003,1.600714987796606e-05,PRUNED,,,,,2025-05-03 20:55:34.923541,0 days 00:03:16.252076
28,0.17333333333333334,96,192,7,7,4,2,0.46105345682055715,0.47399226542969153,320,3,GRU,8,False,True,6,0.0003482395100116043,False,0.02571201461300709,70,0.4032105608721569,8,0.0003,3.340954868174791e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.17333333333333334,-0.01293333333333333,4.0,2025-05-03 20:58:51.316481,0 days 00:12:46.355751
29,0.408,96,128,7,5,4,2,0.2005892281028086,0.36340809859786255,320,2,GRU,12,False,False,6,0.1061657981534246,False,0.04411612788006265,70,0.4168878321864148,8,0.0003,3.213714758544778e-06,PRUNED,,,,,2025-05-03 21:11:37.818389,0 days 00:02:13.341365
30,0.296,96,192,7,11,4,2,0.46219581376996716,0.42382558686802463,256,3,GRU,12,False,True,6,0.17866640154779023,False,0.038200159223802044,56,0.446861200225062,8,0.0003,1.860476373759622e-06,PRUNED,,,,,2025-05-03 21:13:51.304232,0 days 00:04:52.774589
31,0.37333333333333335,96,192,7,7,4,2,0.40559725599619456,0.46940846383547596,384,3,GRU,8,False,True,5,0.0015760975944891786,False,0.02733192874659394,77,0.3356988388805769,8,0.0003,3.3529258329663767e-06,PRUNED,,,,,2025-05-03 21:18:44.217864,0 days 00:03:49.173878
32,0.17333333333333334,96,192,11,7,4,2,0.46092520251769264,0.49529302695501765,320,3,GRU,8,False,True,1,0.023093997247261577,False,0.023553169291080464,46,0.3846481561239082,8,0.0003,1.5697659182471028e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.17333333333333334,-0.001866666666666672,4.0,2025-05-03 21:22:33.547533,0 days 00:12:43.525908
33,1.02,96,192,11,7,4,2,0.4533297607702912,0.39403760873045246,320,3,GRU,8,False,True,1,0.03729548072280678,False,0.032276837412477236,46,0.3861238986806774,8,0.0003,8.0361870026634e-06,PRUNED,,,,,2025-05-03 21:35:17.215238,0 days 00:01:36.062795
34,0.32133333333333336,96,192,11,7,4,2,0.33719558957982965,0.4448964770553716,320,3,GRU,4,True,False,1,0.27225404336705367,False,0.024881247877046313,39,0.2894116751633481,8,0.0003,1.6836590823440083e-06,PRUNED,,,,,2025-05-03 21:36:53.417802,0 days 00:04:30.430810
35,1.272,128,192,11,7,2,2,0.3874657632443939,0.47460415391375477,256,3,GRU,12,False,True,3,0.08406450059435595,False,0.01592772977162707,34,0.4532291122840409,8,0.0003,4.578093007526167e-06,PRUNED,,,,,2025-05-03 21:41:23.995274,0 days 00:03:05.367280
36,9.062666666666667,96,192,11,5,4,2,0.4244217184398124,0.0014179557773848495,320,3,LSTM,16,False,False,1,0.017092703253939582,False,0.045097201646201256,25,0.3698845868189268,8,0.0003,1.3981079111039192e-05,PRUNED,,,,,2025-05-03 21:44:29.507390,0 days 00:01:50.044488
